doc_id,begin,end,Rules,TBM,LLM
15939911,43,52,1,1,1
15939911,121,125,0,0,0
15939911,1647,1656,1,1,0
18258107,390,398,1,1,1
18258107,2518,2528,1,1,1
18416479,22,30,1,1,1
18416479,111,126,0,1,0
18416479,870,878,1,1,1
18416479,2810,2819,0,0,0
18416479,2923,2932,1,1,1
18416479,3047,3056,1,1,0
19009665,24,32,1,1,1
19009665,1996,2006,1,1,1
19860007,22,30,1,1,1
19860007,2395,2405,1,1,1
19860007,2855,2878,0,0,0
21067996,77,85,1,1,1
21527041,53,61,1,1,1
21527041,314,318,0,1,0
21527041,704,715,1,1,0
21527041,1591,1601,1,1,1
21672201,22,31,1,1,1
21672201,222,230,1,1,1
21672201,372,381,1,0,1
21672201,482,488,0,0,0
21672201,502,512,1,1,1
21672201,566,575,1,1,1
21672201,2042,2051,0,0,1
21672201,4241,4251,1,1,1
21672201,4314,4323,1,1,0
22515939,1636,1647,0,1,0
22515939,2263,2273,1,1,0
22515939,2444,2453,1,1,1
22665582,28,37,1,1,1
22665582,923,931,1,1,1
22665582,1545,1554,1,1,0
22665582,1700,1709,1,1,0
22665582,1883,1892,1,1,1
22791498,22,30,1,1,1
22791498,1030,1038,1,1,1
23897372,179,191,1,1,1
24518095,65,73,1,1,1
24518095,613,641,0,0,0
25210224,79,87,1,1,1
25246819,1199,1206,1,1,1
25295501,980,994,0,0,0
25295501,1076,1085,1,1,0
25926582,20,29,1,1,1
25926582,634,642,1,1,1
26228535,102,106,0,1,0
26228535,268,283,1,1,1
26309459,101,110,1,1,1
26309459,559,568,1,0,1
26309459,2266,2276,1,1,1
26327988,79,88,0,1,1
26327988,633,645,1,1,1
26361640,82,91,1,1,1
26444414,1125,1135,1,1,1
26530965,20,29,1,1,1
26530965,1665,1674,1,0,0
26530965,2060,2069,1,1,0
26584481,202,210,1,1,1
26584481,718,726,1,1,1
26584481,2268,2277,1,1,0
26656340,225,234,1,1,1
26656340,1730,1741,1,1,1
26664317,55,64,1,1,1
26664317,587,602,1,1,0
26664317,775,784,1,1,0
26664317,852,859,0,1,1
26664317,1431,1438,0,0,0
26664317,2519,2528,1,1,0
26675562,261,270,1,0,0
26675562,374,383,1,1,0
26675562,397,406,1,1,1
26675562,1738,1747,1,1,0
26683938,51,60,1,1,1
27004009,22,30,1,1,1
27004009,2589,2599,1,1,1
27004009,2767,2776,1,1,0
27196481,22,30,1,1,1
27683825,1058,1067,1,1,0
27793101,23,31,1,1,1
27793101,2239,2249,1,1,1
27793101,2326,2334,1,1,1
27793101,2419,2428,1,1,1
27842595,20,29,1,1,1
27846860,45,54,1,1,1
27846860,408,419,1,1,1
27846860,463,475,1,1,1
27906105,122,130,1,1,1
27906105,609,634,0,1,0
28120581,1193,1202,0,1,1
28120581,2793,2802,1,0,0
28120581,2921,2931,1,1,1
28151882,2807,2818,0,0,0
28151882,2958,2969,0,1,1
28190872,102,111,1,1,1
28190872,196,205,1,1,1
28190872,470,480,0,0,1
28190872,1669,1674,0,1,0
28190872,2078,2089,1,1,1
28190872,2492,2501,0,0,0
28190872,2538,2548,1,1,1
28190872,2599,2608,1,1,0
28202869,866,874,1,1,1
28202869,2826,2835,1,1,1
28202869,3092,3101,1,0,1
28216610,69,78,1,1,1
28216610,258,264,0,0,0
28216610,273,281,0,0,0
28216610,2217,2226,0,0,0
28239141,34,43,1,1,1
28239141,267,276,1,0,1
28239141,425,433,0,0,1
28239141,483,492,1,1,1
28239141,1579,1588,1,0,0
28239141,1960,1969,1,1,1
28250406,18,26,1,1,1
28250406,661,669,1,1,1
28250406,709,717,1,1,1
28250406,835,847,1,1,1
28250406,2318,2326,1,1,1
28250406,2649,2659,1,1,1
28250406,2717,2726,1,1,0
28296775,51,60,1,1,1
28296775,562,573,0,0,0
28296775,921,925,0,0,1
28321073,62,69,1,1,1
28353556,1569,1578,1,1,0
28353556,2664,2673,1,1,0
28353604,312,320,1,1,1
28353604,1452,1456,0,1,1
28353604,2275,2282,1,1,1
28353604,4000,4006,0,1,0
28422883,1506,1515,1,0,1
28422883,2883,2892,1,1,1
