doc_id,begin,end,Rules,TBM,LLM
10361460,40,65,0,0,1
1071228,33,39,1,0,0
1071228,58,66,0,0,1
1087947,4,18,0,1,1
1087947,46,56,1,1,1
10916651,0,23,0,1,0
10928794,56,72,0,1,1
1162780,73,78,1,1,0
11677862,64,84,0,0,1
11677862,90,97,0,0,0
11759329,35,47,0,1,0
11797298,23,36,1,1,1
11797298,95,108,1,1,1
12180033,67,92,0,1,1
1232256,3,17,1,0,0
1232256,3,28,0,0,1
1232256,47,57,0,1,1
12402754,0,16,1,1,1
12402754,70,81,1,1,1
12538096,91,105,0,1,0
12564170,0,10,1,1,1
12595806,20,34,0,1,1
12595806,38,48,1,1,0
12938574,15,27,0,0,0
12940126,22,31,1,0,0
12940126,22,40,0,0,1
12940126,63,75,1,0,1
13219824,0,5,1,0,0
13219824,0,19,0,1,1
13225259,3,24,0,0,1
13225259,33,43,1,1,1
13243900,18,50,0,0,0
13243954,39,49,1,1,1
13243954,84,100,0,1,1
13260903,23,30,0,1,0
13275784,3,9,0,1,1
13277240,32,42,1,0,0
13361068,3,23,0,0,1
13412211,18,23,1,1,1
13413368,59,69,0,0,0
13429592,34,51,1,1,1
13469712,14,38,0,1,1
13474218,5,15,1,1,1
13498923,0,5,1,1,1
13515790,0,10,1,1,1
13586258,29,43,1,1,1
13605952,3,18,1,1,1
13634725,3,12,1,1,1
14104118,0,9,0,0,0
14104118,10,25,0,0,0
14127348,69,92,0,1,0
14136390,0,7,1,1,1
14136390,87,99,0,0,0
14136390,87,113,0,0,0
14197635,0,10,0,1,0
14197635,15,33,0,1,0
14218380,0,5,1,0,0
14218380,0,14,0,1,1
14242834,0,5,1,1,1
14245748,16,39,0,0,0
14245748,89,99,0,1,1
14245748,142,154,0,1,0
14262508,0,5,1,1,1
14362095,4,11,0,0,0
14362095,4,27,0,1,1
146557,31,43,0,1,0
14706904,11,20,1,1,1
15026719,0,10,0,1,1
15026719,65,70,1,0,0
15026719,65,83,0,1,1
15067898,8,22,0,1,1
15108613,26,35,1,0,0
15108613,26,46,0,1,1
15184798,0,11,0,1,1
15184798,41,73,0,0,1
1532088,49,64,1,0,0
1532088,49,74,0,1,1
15861872,85,96,0,1,1
15893243,27,37,0,1,0
16164069,51,63,0,1,0
16230941,72,83,0,0,0
16302706,32,59,0,1,1
16838722,0,9,1,1,0
17044292,13,22,0,1,1
17489325,0,5,1,0,0
17489325,45,55,0,0,0
17489325,45,64,0,1,1
17489325,87,97,0,0,0
17489325,98,110,0,0,0
17489325,119,129,1,1,1
17508667,3,17,1,1,1
1767226,3,13,0,0,0
1792264,0,11,1,0,0
17925667,14,23,1,0,0
17925667,14,34,0,0,0
17925667,48,53,1,1,1
18198812,0,10,1,1,1
18198812,101,126,0,0,1
18380305,17,27,1,0,1
18456428,0,10,1,1,0
18456428,116,130,0,1,1
18456428,208,217,1,1,0
18514154,118,128,1,1,1
1859113,0,5,1,1,0
1859113,21,31,1,1,1
1859113,21,45,0,0,0
1859113,69,78,1,1,1
18842434,11,18,1,1,1
19086156,34,48,1,0,0
19086156,34,57,0,1,1
20117912,41,53,0,0,0
20117912,62,77,0,1,0
20123513,29,43,1,0,0
20123513,29,50,0,1,1
20225558,0,9,1,1,1
20225558,13,23,0,0,0
20598617,23,34,0,1,1
2081839,14,23,0,1,0
2081839,44,91,0,0,0
2081839,55,67,0,1,0
2081839,97,110,1,0,0
2129996,0,10,1,0,0
2129996,11,22,0,0,0
2206170,30,46,0,0,0
2257760,3,16,0,1,1
23046,31,40,0,0,0
23046,31,51,0,0,0
23046,94,106,1,1,0
2305185,0,12,0,1,0
2461179,32,42,1,1,1
2626472,3,24,1,1,1
2626472,36,54,0,1,1
2626472,95,100,1,1,1
289952,63,74,0,1,1
2954139,0,10,0,1,1
2954139,59,67,1,0,0
2954139,107,122,1,1,1
304211,39,45,1,1,0
3048195,0,8,0,0,0
3048195,0,33,0,1,1
3063515,0,10,1,1,1
3095777,47,57,1,1,1
3314683,3,13,0,1,1
3324915,35,45,1,1,1
3324915,54,63,0,1,1
3453726,12,27,0,1,1
3453726,86,98,0,1,1
3482865,68,80,0,1,0
3534743,9,17,0,0,0
3535556,111,133,0,0,1
3548189,70,85,1,0,0
3548189,70,96,0,0,1
3563237,44,59,0,0,1
3575865,45,51,0,0,1
3575865,55,93,0,1,1
3760481,4,15,0,1,1
3910289,12,19,0,0,0
3910289,23,31,0,0,0
4020045,0,10,0,0,0
411603,43,51,0,1,0
4157454,61,67,1,1,0
4159295,128,157,0,0,1
4196755,147,153,0,1,1
4197174,0,7,1,1,1
4220721,29,42,0,1,0
4238641,63,69,0,0,0
4259081,0,9,0,0,0
4306381,49,58,0,1,0
4314009,0,6,0,1,0
4314009,10,21,0,1,1
4388311,0,23,0,1,1
4417986,107,119,1,1,1
4427941,0,10,1,0,0
4427941,0,22,0,1,1
4433099,14,48,0,0,1
4462186,31,41,1,1,1
4493940,3,13,1,0,0
4493940,3,24,0,1,1
4539248,4,16,0,0,0
4539248,17,32,0,0,0
4539248,42,50,0,0,0
4539248,42,68,0,1,1
4539248,71,85,1,1,0
4539248,89,106,1,1,1
4600261,49,59,1,1,1
4603627,3,10,0,1,0
4603627,51,63,0,0,0
4677873,0,9,1,1,0
4706984,0,6,0,1,0
4706984,72,84,0,0,0
4754171,0,10,1,1,1
4754171,82,94,1,0,0
4791389,55,65,1,1,1
4920834,99,110,1,0,0
4920834,99,126,0,1,0
4957454,0,5,1,0,0
4957454,24,37,0,1,1
4979480,72,83,0,1,1
5001461,93,119,0,0,1
5004900,9,22,0,0,0
5087781,12,38,0,1,1
515102,72,83,0,0,0
5281724,22,32,1,0,0
5281724,22,46,0,1,1
5328287,57,62,1,1,1
5341613,3,9,1,0,0
5341613,3,17,0,1,1
5341613,26,36,1,1,1
5357827,0,5,1,1,0
5357827,24,41,0,0,1
5361697,73,83,1,0,0
5361697,73,95,0,1,1
5366903,22,36,0,0,0
5382520,135,145,1,1,1
5405908,14,19,1,1,1
5440975,12,22,1,1,1
5577572,56,68,0,1,0
5577572,69,81,0,0,0
5579423,93,98,1,1,1
5619723,0,10,1,0,0
5619723,0,22,0,1,1
5664956,29,42,0,1,1
5726836,0,14,0,1,1
5729054,3,28,0,0,1
5757903,0,14,0,1,1
5757903,33,39,0,0,0
5757903,33,67,0,0,1
5757903,70,74,0,0,1
5827820,74,82,0,0,0
5839755,7,21,0,1,1
5849520,81,94,1,1,0
5849520,81,104,0,0,1
585960,0,5,1,1,1
585960,63,69,0,1,1
5870816,13,26,0,1,0
5946800,70,77,0,1,1
5985724,13,35,1,1,1
5985724,38,47,0,0,0
6114684,0,11,0,1,0
6192478,3,12,1,0,0
6192478,13,25,0,0,0
6262896,26,31,1,1,1
6262896,79,91,0,0,0
6288504,73,84,1,1,0
6415505,64,76,1,1,0
6422876,104,114,1,0,0
6422876,104,128,0,1,1
6453389,3,12,0,1,1
6453389,3,41,0,0,0
6461166,0,10,0,0,0
6508483,80,92,1,1,0
6658347,3,25,1,1,1
6677350,0,10,1,1,1
6816173,75,87,1,1,0
6875395,37,47,1,1,1
6875396,55,67,1,1,0
6899444,3,10,1,0,0
6899444,3,20,0,1,0
6899444,3,59,0,0,0
7016223,0,10,1,0,0
7016223,0,18,0,1,1
7016223,22,35,1,1,1
7016223,42,56,1,1,1
7016223,98,110,1,1,0
7061617,0,10,0,0,0
7145659,47,51,0,0,1
7145659,69,76,0,1,0
7171189,34,45,1,1,0
7171189,99,113,1,1,1
727338,0,12,0,0,0
727338,118,131,0,0,0
736501,32,45,1,1,1
737827,29,38,1,0,0
737827,29,48,0,1,1
737827,87,99,1,1,0
7455612,27,33,0,1,0
7740258,124,129,1,1,0
792812,0,28,0,0,1
792812,10,28,0,0,0
792812,31,48,0,0,0
792812,65,75,0,1,0
792812,76,87,0,0,0
8210073,0,10,1,1,0
8210073,30,47,0,0,0
827258,49,56,0,0,0
827258,49,72,0,1,1
846858,27,37,1,0,0
846858,27,49,0,1,1
928515,0,13,1,0,0
928515,0,27,0,1,1
928515,28,39,0,0,0
9555489,16,21,1,1,0
9569906,75,85,1,0,0
9577880,29,36,1,1,1
9622807,0,22,1,1,1
9750644,0,10,1,1,1
9810079,4,13,0,0,0
9810079,25,37,0,0,0
9810079,48,73,0,0,1
9810079,59,73,0,0,0
