doc_id,begin,end,Rules,TBM,LLM
10361460,0,9,0,0,0
1162780,82,94,0,0,0
11852772,12,25,0,0,0
11852772,32,41,1,0,1
11852772,54,63,1,0,1
1224085,8,32,0,0,1
12564170,15,25,0,0,0
13225259,3,14,1,1,0
13243900,3,14,0,0,0
13275784,16,24,0,0,1
13409678,23,36,1,0,0
13409678,56,65,1,0,0
13585728,25,34,1,1,0
13623687,67,80,0,0,0
13665657,39,58,0,0,1
14104118,32,41,0,0,0
14219866,9,21,1,0,0
14219866,106,124,0,0,1
14242834,36,47,0,0,0
14262508,100,111,1,0,1
146557,80,99,0,0,1
15067898,76,85,1,0,1
15108613,0,12,0,1,0
1532088,24,35,1,0,0
15382465,0,11,0,0,0
16164069,18,24,0,0,0
17925667,60,69,0,0,0
20067037,12,26,1,0,1
20222307,118,127,1,0,0
214252,88,100,0,0,0
218485,17,49,0,0,0
3012204,32,51,0,0,1
3575865,81,93,1,0,0
3718152,0,3,0,0,0
3718152,0,16,0,0,1
4018489,44,57,1,0,0
4196755,14,25,1,0,0
4196755,14,35,0,0,1
4196755,201,218,0,0,1
4196755,209,218,0,0,0
4417986,77,91,0,0,0
4433099,106,126,0,0,0
4479819,27,44,0,0,0
4622937,98,107,0,0,0
4631528,21,31,0,0,0
4676892,62,71,1,1,1
4754171,140,150,0,0,0
4802744,3,22,0,0,1
4802744,47,61,0,0,0
4862812,18,29,0,1,0
4862812,18,40,0,0,0
4920834,77,86,1,1,1
4968740,0,11,0,0,0
5146732,29,40,0,0,0
5150758,28,38,1,1,0
5150758,28,46,0,0,1
515102,0,11,0,0,0
5405908,23,34,1,1,0
5405908,23,43,0,0,1
5561512,95,102,0,1,0
5561512,95,114,0,0,0
5607134,27,33,0,0,0
5607134,27,43,0,0,0
5757903,40,51,0,0,0
5809278,0,9,0,0,0
5809278,146,155,0,0,0
5870816,0,12,0,0,0
5898823,87,100,1,1,1
6114684,12,25,1,0,0
727338,17,29,0,0,0
727338,17,59,0,0,1
825314,135,142,0,0,0
9280545,3,12,1,0,1
928515,84,98,0,0,1
938690,67,90,0,0,1
