doc_id,begin,end,Rules,TBM,LLM
1009808,14,22,0,0,0
10442066,25,42,0,1,0
1087947,24,29,1,0,0
1087947,24,37,0,1,1
1087947,30,37,0,0,0
11677862,0,26,0,0,1
11677862,46,61,0,1,1
1178466,8,20,0,1,1
1178466,23,37,0,1,1
1214206,25,38,1,1,1
12938574,0,11,0,1,1
13219824,56,67,0,1,1
13219824,75,81,0,1,1
13243954,3,18,0,1,1
13277240,14,24,0,1,1
13409678,8,14,0,1,1
13412211,28,47,0,0,0
13412211,87,95,0,0,0
13413368,91,104,0,1,1
13454944,12,26,0,0,0
13498923,32,41,0,1,1
13515790,39,57,0,1,1
13616948,37,50,0,1,1
13616948,56,71,0,1,1
13629299,73,83,0,1,1
14098568,18,22,0,0,0
14098568,23,33,0,0,0
14098568,34,42,0,0,0
14104118,57,68,0,1,1
14104118,76,81,1,0,0
14104118,76,92,0,1,1
14187071,51,68,0,1,1
14205415,13,34,0,1,0
14205415,45,57,0,1,1
14218380,26,38,0,0,1
14218380,88,107,0,0,1
14254872,11,21,0,0,0
14262508,22,27,1,0,0
14262508,22,47,0,1,1
14371787,0,5,0,0,1
146557,63,72,0,1,1
1532088,13,40,0,1,1
15382465,16,29,1,1,1
15790005,3,13,0,0,1
15801395,44,52,0,1,1
15921362,4,15,1,1,0
15921362,60,87,0,1,0
16203267,3,22,0,1,1
16203267,25,35,0,0,0
16203267,42,49,0,1,1
17489325,69,81,0,1,1
17925667,85,97,1,1,1
17925667,107,118,1,1,1
18456428,171,182,1,1,0
18514154,20,35,1,1,1
19027700,19,30,1,1,0
1974844,35,42,0,0,0
20117912,0,8,1,1,1
214252,10,18,0,0,0
214252,10,28,0,1,1
214252,22,28,0,0,0
214252,53,63,0,1,1
218485,32,49,0,1,1
2206170,54,63,0,1,1
2461179,14,23,0,1,1
3012204,13,24,0,1,1
3012204,131,141,1,0,0
3012204,131,149,0,0,0
304211,53,64,0,1,1
3095777,65,76,0,1,1
3152016,35,50,0,1,0
3482865,28,41,0,1,1
3534743,78,88,0,1,1
3803819,32,42,0,1,1
3909574,11,19,1,0,0
411603,58,68,0,1,1
4119351,18,26,0,1,1
4157454,75,86,0,1,1
4168030,25,33,0,1,0
4168030,126,142,1,1,1
4196755,26,35,0,1,0
4197174,12,19,0,1,1
4197174,66,71,1,0,0
4197174,66,79,0,0,1
4256477,42,51,0,1,1
4259081,32,42,0,1,1
4259081,52,62,1,1,1
4283085,13,21,0,0,0
4306381,63,80,0,1,1
4314009,59,65,1,1,1
4314009,80,91,0,1,0
4417986,11,22,0,0,0
4417986,69,76,1,0,0
4417986,69,91,0,1,1
4479819,9,24,0,1,0
4479819,82,94,1,1,0
4479819,95,112,0,1,0
4479819,118,130,0,1,1
4677873,14,21,0,1,1
4677873,59,79,0,1,1
4706984,126,133,0,0,0
4706984,126,137,0,0,1
4769583,20,32,0,0,0
4769583,20,40,0,1,1
4965112,29,39,1,0,0
4965112,47,53,0,0,0
4965112,57,62,1,0,0
4965112,57,83,0,1,1
4979480,91,102,0,1,1
4985692,63,70,1,0,0
4985692,63,84,0,1,0
4988445,3,13,0,1,1
4988445,19,31,0,1,1
4988445,42,58,0,1,1
4988445,61,68,0,1,1
4988445,120,133,0,1,0
5001461,13,22,0,1,1
50788,20,27,0,0,0
50788,41,44,0,1,1
5146732,44,55,0,1,1
5146732,62,72,0,1,1
515102,21,33,0,0,0
515102,21,43,0,1,1
515102,37,43,0,0,0
515102,52,69,0,1,1
5328287,19,32,0,1,1
5361697,23,33,1,0,0
5366903,40,46,0,1,0
5382520,53,67,1,0,0
5392371,14,24,1,1,1
5405908,35,43,0,1,0
5447116,0,8,0,1,1
5447116,18,23,0,1,0
5447116,18,36,0,0,1
556341,13,23,0,1,1
5607134,0,11,0,1,1
5679193,34,45,1,1,1
5726836,21,33,0,1,1
5757903,94,107,0,1,1
5757903,114,124,0,1,1
5809278,160,164,0,1,1
5809278,168,172,0,1,1
5819545,14,30,0,0,0
5898823,10,34,0,1,1
5898823,37,45,0,1,1
5898823,48,60,0,1,1
5898823,64,77,0,1,1
5898823,173,179,1,0,0
5898823,173,186,0,1,1
6031973,55,57,0,1,1
6193847,113,123,1,1,1
6255404,39,50,0,1,1
6422876,45,53,0,1,1
6441507,0,13,0,1,1
6441507,28,35,1,0,0
6441507,28,49,0,1,1
6441507,55,68,0,1,1
6508483,42,52,1,0,0
6677350,18,35,1,1,1
6677350,38,50,0,1,1
6677350,59,71,0,1,1
6857055,0,10,0,1,1
768719,72,79,0,0,0
768719,72,93,0,1,1
8210073,43,47,0,0,1
846849,52,55,1,0,1
8504353,27,39,0,1,0
938690,43,63,0,0,1
