doc_id,begin,end,Rules,TBM,LLM
1050806,44,50,1,1,1
10916651,97,105,1,1,1
11640494,79,86,1,1,0
11961948,103,110,0,1,0
1224085,63,68,1,1,1
12337872,27,44,0,0,1
12337872,27,51,0,0,0
13311057,28,39,0,1,1
13336869,16,21,1,0,0
13336869,36,46,1,1,1
13336869,71,81,1,1,1
13390775,31,41,1,1,1
13413368,113,116,1,0,0
1342771,4,10,1,1,1
13474218,31,36,1,1,0
13515790,66,72,1,1,1
13515790,85,91,1,1,0
135621,55,66,0,1,0
135621,81,102,0,1,1
135621,105,109,0,1,1
135621,112,123,0,1,1
13585728,73,78,1,1,1
13623687,111,118,0,1,1
13629931,56,62,0,1,1
13638773,36,58,1,0,1
13665657,67,74,0,0,0
14197635,38,54,1,1,1
14219866,79,87,1,1,0
14262508,78,84,1,1,1
14276223,3,10,0,1,0
14323055,30,35,1,1,1
14323055,49,59,0,0,1
14378799,3,6,0,0,0
14378799,13,17,0,0,0
146557,103,106,1,1,1
15026719,36,39,0,0,0
15108613,71,83,0,1,1
1532088,83,89,1,1,0
1532088,90,99,0,0,0
15382465,34,40,0,1,1
15382465,84,90,1,1,1
15801395,23,33,1,1,1
15801395,34,40,0,0,1
15893243,12,20,0,0,1
16203267,3,10,0,0,0
16604034,0,11,0,0,1
17349380,46,52,1,1,1
17508667,26,32,1,1,1
18380305,58,81,0,0,1
18456428,100,107,0,0,0
18456428,134,148,0,0,0
18456428,134,155,1,1,1
18456428,134,182,0,0,0
1974844,53,69,0,1,1
20067037,46,55,0,1,0
20873436,30,37,1,1,1
214252,108,113,1,0,0
214252,108,130,0,1,0
214252,125,130,1,0,0
21526543,16,23,0,1,1
21526543,24,28,0,1,1
21526543,32,42,0,1,0
218485,98,103,1,0,0
23046,66,75,1,1,1
2779713,27,33,1,1,1
2779713,40,50,1,1,1
3012204,60,63,1,1,1
3241892,46,52,1,1,1
3241892,59,69,1,1,1
3453726,49,57,0,0,0
3453726,64,70,1,1,1
3534743,99,108,1,1,0
3718152,27,37,1,1,1
3910289,63,73,0,0,0
3910289,63,84,1,1,1
411603,129,134,1,1,1
4159295,64,73,0,1,0
4159295,64,92,0,0,1
4184305,44,49,1,1,1
4196755,60,72,0,0,0
4196755,60,83,0,0,1
4196755,97,105,0,0,0
4196755,128,135,0,1,0
4197174,39,42,1,1,1
4197174,43,50,0,1,0
4238641,40,50,1,1,1
4247099,0,7,0,1,0
4259081,71,76,1,1,1
4259081,88,93,1,1,1
4283085,50,60,0,1,1
4283085,61,69,0,0,0
4283085,61,77,0,1,1
4306381,118,125,0,1,1
4314009,44,50,0,1,0
4314009,111,117,0,1,1
4314009,134,143,0,0,0
4314009,134,152,0,1,1
4484300,3,12,1,1,1
4603627,36,43,0,1,0
4622937,116,122,1,1,1
4631528,71,75,0,0,0
4676892,39,46,0,1,1
4677873,89,100,0,1,1
4754171,68,74,1,1,1
4802744,77,85,0,1,0
4802744,88,93,0,0,0
4802744,88,101,0,1,1
4920834,121,126,0,0,0
4957454,47,56,0,0,0
4957454,57,68,0,0,0
4965112,101,107,1,1,1
4968740,32,37,1,0,0
4968740,32,54,0,1,0
4968740,49,54,1,0,0
4968740,57,66,0,1,0
4968740,76,81,1,0,0
4968740,76,103,0,1,0
4968740,97,103,1,0,0
4968740,106,115,0,0,0
4979480,59,65,1,1,1
4985368,84,89,0,0,0
4985368,84,95,1,1,1
4985368,90,95,0,0,0
4985692,98,105,1,1,0
5001461,31,42,1,0,1
5004900,49,56,0,1,1
5004900,59,70,1,1,1
50788,58,64,1,1,0
5328287,79,90,1,0,1
5357827,63,73,0,0,0
5357827,63,80,0,1,1
5357827,74,80,0,0,0
5392371,57,64,0,0,0
5561512,123,128,1,1,1
5726836,56,64,1,1,0
5729054,66,75,1,1,1
5754278,112,118,0,1,0
5754278,121,134,0,0,0
5757903,145,150,1,1,1
5870816,68,73,0,0,0
5898823,118,124,0,1,0
5898823,125,138,0,0,0
5898823,125,146,0,1,0
5955535,9,20,0,0,0
5955535,64,74,0,1,0
6193847,52,66,0,0,0
6193847,52,77,0,0,0
6193847,52,88,0,0,0
6261665,62,68,1,1,1
6508483,53,63,0,0,0
6531541,15,28,0,1,0
6531541,50,63,0,1,0
6936739,26,33,1,1,1
6979784,4,11,1,1,1
6979784,12,20,0,1,1
7455612,3,9,1,0,0
7740258,98,101,0,0,0
776059,0,19,0,1,1
792812,120,128,1,1,0
825255,24,32,0,1,0
825255,36,47,0,0,0
825255,36,57,0,1,1
825314,61,71,0,0,0
825314,85,93,0,0,0
9280545,21,26,1,1,1
938690,99,116,0,1,1
9569906,45,69,0,0,0
9759313,25,35,1,1,1
9814045,4,12,0,1,1
