doc_id,begin,end,Rules,TBM,LLM
1009808,4,13,0,0,0
1009808,4,22,0,1,1
10361460,13,20,1,1,1
10465002,0,8,1,0,0
10465002,0,26,0,0,1
10465002,33,57,0,0,0
10465002,61,81,0,0,0
1050806,3,11,0,1,0
1050806,29,37,0,1,1
1087947,63,70,1,0,0
1087947,71,82,0,0,0
10928794,24,30,1,1,1
11759329,15,24,0,1,1
1178279,0,12,0,0,0
1178279,13,24,0,0,0
1178466,74,81,1,1,0
1178466,84,98,0,1,0
11797298,0,10,0,0,0
11852772,44,50,0,1,1
12020985,4,26,1,1,0
12020985,27,36,0,0,0
1209055,0,15,0,1,1
1209055,19,42,0,1,1
1209055,48,68,0,0,0
1209055,91,130,0,1,1
121206,3,20,1,1,0
12180033,54,60,0,1,1
1232256,62,69,1,0,0
1232256,62,81,0,1,1
1232880,0,8,1,0,0
1232880,0,18,0,1,1
12538096,12,19,1,0,0
12538096,12,35,0,1,1
12538096,12,75,0,0,0
12564170,15,40,0,1,1
12595806,4,17,1,1,1
12701313,0,30,0,1,1
12940126,44,50,1,0,0
12940126,44,58,0,1,1
1304696,9,19,1,0,0
1304696,22,33,0,1,1
1304696,62,70,1,0,0
13243954,73,81,0,0,0
13260903,0,22,0,1,1
13260903,121,129,0,0,0
13275784,3,45,0,0,0
13303518,21,88,0,0,0
13336869,4,13,1,0,0
13336869,22,32,0,0,0
13336869,49,56,1,0,0
13336869,57,67,0,0,0
13361068,30,48,0,1,0
13390775,0,6,1,0,0
13390775,47,62,1,1,1
13390775,76,83,1,0,0
13390775,76,99,0,1,1
13390775,114,138,0,0,0
13396485,19,68,0,1,1
13396485,44,53,0,0,0
13396485,75,96,0,1,1
13409678,41,65,0,0,1
13413368,14,30,0,1,1
13413368,33,42,1,1,1
1342771,11,23,0,0,1
13453076,0,13,1,0,0
13453076,0,23,0,1,1
13453076,34,42,0,1,1
13454944,3,11,1,0,0
13454944,3,26,0,1,1
13469712,47,57,0,1,1
13474218,49,66,0,1,1
13498923,12,24,1,1,1
13515790,17,31,0,1,1
13577746,4,28,0,0,1
13577746,37,44,1,0,0
13577746,37,62,0,1,1
13577746,74,81,1,0,0
13577746,74,96,0,1,1
13586258,50,63,0,1,1
13605952,24,35,1,0,0
13605952,24,44,0,1,1
13614118,7,18,0,0,0
13614118,40,48,0,0,1
13623687,18,27,0,0,0
13623687,18,39,0,0,0
13623687,40,64,0,0,0
13629299,24,35,0,0,0
13629299,24,47,0,1,1
13634725,19,26,0,1,1
13638773,24,33,1,0,1
13638773,24,58,0,1,0
13665657,0,11,0,1,0
14095574,32,43,1,1,1
14100240,13,18,0,0,0
14100240,13,31,0,1,0
14127348,25,54,0,1,0
14136390,46,55,1,0,0
14136390,46,66,0,1,1
14187071,24,68,0,0,0
14187071,78,86,1,0,0
14187071,78,94,0,1,1
14197635,59,75,0,1,1
14222488,14,27,0,0,0
14222488,31,41,0,0,0
14222488,45,58,0,0,0
14222488,67,82,0,1,1
14238353,0,12,1,1,1
14238353,0,25,0,0,0
14238353,41,50,1,0,0
14238353,41,63,0,1,1
14242834,29,35,1,0,0
14242834,94,102,1,1,1
14245748,104,123,0,1,1
14254872,30,42,0,1,1
14266189,16,23,1,0,0
14266189,16,34,0,0,0
14266189,35,43,0,0,0
14306517,20,28,1,0,0
14306517,20,63,0,0,1
14323055,20,26,0,0,0
14331398,3,19,0,1,1
14362095,36,49,0,1,1
14371787,6,22,0,1,1
14371787,26,39,1,1,1
14371787,51,72,0,0,0
14395991,10,23,1,0,0
14395991,24,32,0,0,0
146557,50,56,0,0,0
14706904,24,30,1,0,0
14706904,24,38,0,1,1
14706904,46,53,1,0,0
14706904,46,68,0,1,1
14714347,0,8,1,0,0
14714347,0,21,0,1,1
15026719,18,39,0,1,0
15067898,26,48,0,1,1
1532088,90,101,0,1,1
15382465,57,77,0,1,1
15825995,20,35,0,1,1
15861872,3,10,1,0,0
15861872,3,23,0,1,1
15893243,0,9,1,0,0
15893243,0,20,0,1,1
15899620,0,7,1,0,0
15899620,0,18,0,0,0
15899620,0,27,0,1,1
15988371,0,7,0,0,0
16164069,0,12,0,0,0
16164069,0,24,0,1,0
16164069,27,36,0,1,1
16230941,0,17,0,1,0
16230941,43,63,0,1,1
16562603,35,43,1,0,0
16562603,35,53,0,1,1
16838722,16,23,1,1,1
17086126,0,12,1,1,1
17086126,19,26,1,1,1
17086126,30,41,0,0,0
17086126,30,51,0,1,1
17287674,0,13,1,1,0
17287674,14,27,0,1,0
17349380,4,13,1,0,0
17489325,133,139,1,0,0
17489325,133,154,0,1,1
17489325,176,188,0,1,1
17508667,44,55,0,0,0
17508667,44,80,0,1,1
1767226,14,28,0,0,0
1792264,52,62,1,0,0
1792264,67,77,1,1,1
17925667,0,7,0,1,1
18198812,17,29,0,0,0
18198812,17,39,0,0,0
18380305,31,48,0,0,1
18514154,135,145,1,0,0
18514154,135,153,0,1,1
1859110,0,8,1,0,0
1859110,0,20,0,1,1
1859113,36,45,1,0,0
18842434,48,54,1,1,0
