doc_id,begin,end,Rules,TBM,LLM
10442066,34,42,0,0,0
1071228,40,49,0,0,0
1162780,95,107,0,1,0
11915775,30,38,0,0,0
1209055,35,42,1,0,0
1209055,56,68,0,0,0
121206,21,33,0,1,0
12180033,18,23,0,1,0
12180033,83,92,1,0,0
1224085,39,56,0,1,1
1232256,18,28,1,0,0
1232256,70,81,1,0,0
12538096,26,35,1,0,0
12538096,43,75,0,0,1
12701313,26,30,1,0,0
12940126,54,58,1,0,0
13275784,29,45,0,1,1
13303518,82,94,0,1,1
13330291,52,83,0,1,1
13343678,57,69,0,1,0
13403755,23,32,1,1,0
13403755,56,61,0,1,0
13412211,48,57,1,0,0
13429592,60,76,0,1,1
13429592,67,76,1,0,0
13453076,14,23,0,0,0
13469712,29,38,1,0,0
13577746,19,28,0,1,0
13585728,44,64,0,1,0
13591123,24,34,0,1,1
13591123,44,54,0,1,1
13605952,73,85,0,1,0
13605952,101,118,0,1,1
13605952,106,118,0,0,0
13614118,19,33,0,0,0
13629299,36,47,1,0,0
13629931,30,35,1,0,0
13629931,39,55,0,1,0
13665657,49,58,1,0,0
14187071,90,94,1,0,0
14205415,66,86,0,1,1
14219866,45,57,0,0,0
14219866,45,68,0,1,1
14238353,51,63,1,0,0
14245748,29,39,1,0,0
14245748,112,123,1,0,0
14254872,4,21,0,1,1
14262508,52,69,0,0,1
14266189,24,34,0,0,0
14323055,20,26,1,0,1
14371787,16,22,1,0,0
14706904,34,38,1,0,0
15108613,36,46,0,0,0
15184798,18,32,0,1,1
1532088,65,74,1,0,0
15329823,14,28,0,1,0
15893243,41,49,1,0,0
15893243,41,66,0,1,0
15899620,8,18,1,0,0
15921362,19,43,0,1,0
15921362,74,87,0,0,0
15988371,8,16,0,0,0
15988371,40,48,0,1,1
16230941,28,39,0,1,0
16604034,15,23,1,1,1
17287674,32,38,0,0,0
17287674,32,52,0,0,0
17287674,45,52,0,0,0
17349380,20,37,0,1,0
17489325,146,154,1,0,0
17508667,56,67,1,0,0
1792264,12,20,1,0,0
1792264,25,32,1,0,0
1792264,25,43,0,1,1
17925667,35,45,1,1,0
17925667,70,78,1,1,0
18198812,30,39,0,0,0
18198812,101,108,0,0,0
1859110,9,20,1,0,0
1859110,43,60,0,1,1
1859113,52,64,0,0,0
20180353,21,33,0,0,0
20225558,42,52,0,0,0
2053749,15,36,0,1,1
2053749,61,74,0,1,1
20598617,57,71,0,1,1
2129996,46,55,1,0,0
2129996,46,66,0,1,0
214252,67,75,1,1,0
214252,67,84,0,0,1
218485,54,62,1,0,0
218485,54,65,0,1,1
23046,41,51,0,0,0
2461179,112,120,1,0,0
2551209,16,21,0,0,1
2779713,11,20,1,0,0
2974146,24,42,0,1,0
3012204,42,51,1,0,0
3048195,47,53,1,0,0
3324915,13,21,1,0,0
3535556,22,31,1,0,0
3535556,43,55,0,1,0
3548189,13,23,0,0,0
3548189,88,96,0,0,0
3634431,10,18,0,0,0
3718152,17,23,1,1,0
4018489,7,25,0,0,0
4028899,11,21,1,0,0
4028899,55,59,0,0,0
4028899,55,69,0,1,1
411603,96,103,1,0,0
411603,96,113,0,1,1
411603,104,113,0,0,0
411603,117,125,0,1,0
4168030,12,19,0,1,0
4168030,34,46,0,1,0
4184305,13,27,0,1,0
4196755,42,56,0,0,1
4196755,176,185,0,0,0
4197174,29,35,0,1,1
4211441,28,39,0,1,0
4220721,54,61,0,1,0
4238641,9,15,0,1,0
4238641,23,28,0,1,1
4265729,16,22,1,1,0
4306381,90,100,0,0,0
4306381,90,114,0,1,1
4306381,101,114,0,0,0
4417986,26,36,0,0,0
4433099,42,48,0,0,0
4433099,117,126,1,0,0
4539248,51,68,0,0,0
4642863,20,25,0,0,0
4642863,20,36,0,1,1
4706984,85,99,0,0,0
4721577,13,19,0,0,0
4721577,40,52,0,0,0
4769583,8,16,1,0,0
4802744,47,70,0,0,0
4802744,65,70,0,1,1
4804379,15,22,0,0,0
