doc_id,begin,end,Rules,TBM,LLM
12180033,45,50,1,0,0
13219824,88,95,0,0,0
13403755,35,46,0,0,0
1342771,54,63,0,0,0
14098568,6,17,0,0,0
1532088,0,9,0,0,0
15861872,58,68,1,0,0
16342872,8,17,1,0,0
1792264,123,132,1,0,0
2081839,0,9,1,0,0
3048195,13,33,1,0,0
3048195,23,33,0,0,0
3482787,3,10,0,0,0
3575865,25,33,1,0,0
3575865,36,41,0,0,0
4238641,75,83,0,0,0
4433099,106,116,0,0,0
4769583,33,40,0,0,0
4802744,12,22,1,0,0
5150758,50,65,0,0,0
5341613,60,72,0,0,0
5561512,16,27,0,0,0
6032395,13,23,1,0,0
6192478,58,70,0,0,0
825314,25,45,0,0,0
